    0.00      5.00     78.00    117.00    189.00    282.00    367.00    359.00    423.00    515.00    495.00    553.00    552.00    494.00    507.00    459.00    346.00    387.00    395.00    237.00    256.00    139.00     12.00      0.00  
    0.00      0.00     46.00     99.00    167.00    227.00    262.00    279.00    379.00    405.00    403.00    506.00    378.00    445.00    434.00    418.00    368.00    426.00    326.00    240.00    207.00     78.00      0.00      0.00  
    0.00      0.00     20.00     65.00    100.00    177.00    299.00    297.00    285.00    390.00    414.00    450.00    317.00    411.00    415.00    357.00    381.00    325.00    267.00    156.00    143.00      9.00      0.00      0.00  
    0.00      0.00      0.00     47.00     73.00    108.00    162.00    251.00    220.00    225.00    279.00    359.00    358.00    350.00    364.00    364.00    300.00    239.00    160.00    146.00     66.00      0.00      0.00      0.00  
    0.00      0.00      0.00     12.00     50.00    116.00    124.00    141.00    193.00    223.00    237.00    295.00    285.00    261.00    271.00    251.00    240.00    213.00    129.00    103.00     19.00      0.00      0.00      0.00  
    0.00      0.00      0.00      0.00     19.00     66.00     95.00     95.00    187.00    221.00    235.00    249.00    230.00    198.00    237.00    203.00    163.00    104.00     69.00     18.00      0.00      0.00      0.00      0.00  
    0.00      0.00      0.00      0.00      0.00     38.00     41.00     83.00    113.00    149.00    115.00    168.00    166.00    152.00    165.00    135.00    129.00     84.00     22.00      6.00      0.00      0.00      0.00      0.00  
    0.00      0.00      0.00      0.00      0.00      1.00     28.00     55.00    106.00    105.00     97.00    124.00    121.00    155.00    123.00    109.00    103.00     22.00      0.00      0.00      0.00      0.00      0.00      0.00  
    0.00      0.00      0.00      0.00      0.00      0.00      0.00     12.00     43.00     66.00     82.00     62.00     97.00     98.00    101.00     72.00     14.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00  
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      2.00     18.00     25.00     37.00     39.00     19.00     42.00     10.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00  
